date,home_team,away_team,neutral,tournament,t_weight,elo_home,elo_away,elo_diff,elo_win_prob_h,elo_win_prob_a,h_gf5,h_ga5,h_pts5,h_wpts5,h_gf10,h_ga10,h_pts10,h_wpts10,a_gf5,a_ga5,a_pts5,a_wpts5,a_gf10,a_ga10,a_pts10,a_wpts10,diff_pts5,diff_pts10,diff_wpts5,diff_gf5,diff_ga5,h2h_wwin_rate_a,h2h_wwin_rate_b,h2h_wdraw_rate,h2h_gf_a,h2h_ga_a,h2h_n_matches,h_world_ranking,h_participations,h_elo_rating,h_elo_rank_wc,h_ea_overall,h_ea_attack,h_ea_midfield,h_ea_defense,h_ea_atk_def_ratio,h_ea_balance,h_squad_value_m,h_log_squad_value,h_rank_score,h_wc_exp,a_world_ranking,a_participations,a_elo_rating,a_elo_rank_wc,a_ea_overall,a_ea_attack,a_ea_midfield,a_ea_defense,a_ea_atk_def_ratio,a_ea_balance,a_squad_value_m,a_log_squad_value,a_rank_score,a_wc_exp,diff_ea_overall,diff_ea_attack,diff_ea_midfield,diff_ea_defense,diff_squad_value_m,diff_rank_score,diff_wc_exp
2026-06-11,Mexico,South Africa,False,FIFA World Cup,1.0,1809.5,1628.6,180.9000000000001,0.8343796483172492,0.1656203516827508,1.0,0.6,0.6,0.6,0.8,1.0,0.5,0.5,0.8,1.0,0.4,0.3712121212121212,1.0,0.7,0.6,0.5891472868217054,0.1999999999999999,-0.0999999999999999,0.2287878787878787,0.1999999999999999,-0.4,0.5,0.5,0.0,0.0,0.0,0,15,17,1684.13,14,77.71,79.23,77.3,75.4,1.0507957559681698,1.9150195821453095,230,5.442417710521793,0.0666666666666666,2.8903717578961645,60,3,1429.0,40,71.74,72.79,72.69,69.92,1.0410469107551488,1.6288953311984171,35,3.58351893845611,0.0166666666666666,1.3862943611198906,5.969999999999999,6.439999999999998,4.609999999999999,5.480000000000004,195,0.05,1.504077396776274
2026-06-11,South Korea,Czech Republic,True,FIFA World Cup,1.0,1744.9,1694.9,50.0,0.5714631174083814,0.4285368825916186,1.0,2.2,0.5,0.5,1.5,1.4,0.7,0.7844827586206896,1.2,2.2,0.3,0.1363636363636363,0.8,2.3,0.15,0.0703125,0.2,0.5499999999999999,0.3636363636363636,-0.1999999999999999,0.0,0.5,0.5,0.0,0.0,0.0,0,25,10,1589.65,23,80.06,83.51,76.56,79.68,1.048067269076305,3.481039116892159,210,5.351858133476067,0.04,2.3978952727983707,41,9,1503.04,33,78.16499999999999,77.58,76.56,76.46,1.0129239772946157,1.8886042257443556,95,4.564348191467836,0.024390243902439,2.302585092994046,2.2549999999999955,1.9299999999999924,3.210000000000008,1.0850000000000009,115,0.0156097560975609,0.0953101798043247
2026-06-12,United States,Paraguay,False,FIFA World Cup,1.0,1664.8,1773.7,-108.90000000000008,0.4871946712189299,0.5128053287810701,2.2,2.0,0.6,0.6,1.7,1.6,0.55,0.5428571428571428,1.0,1.4,0.4,0.4361702127659574,1.1,1.1,0.5,0.5476190476190477,0.1999999999999999,0.05,0.1638297872340425,1.2000000000000002,0.6000000000000001,0.6188867636825932,0.3811132363174068,0.1905566181587034,1.9081773857862327,0.9081773857862324,2,16,11,1675.7,15,79.175,79.23,78.32,78.43,1.024291977722479,2.0804672739673586,250,5.525452939131784,0.0625,2.4849066497880004,40,8,1503.5,32,74.7,74.93,75.23,74.05,1.011883862255233,0.6132971003790402,100,4.61512051684126,0.025,2.19722457733622,2.2549999999999955,1.9299999999999924,3.210000000000008,1.0850000000000009,150,0.0375,0.2876820724517808
2026-06-12,Canada,Bosnia and Herzegovina,False,FIFA World Cup,1.0,1691.4,1637.3,54.100000000000136,0.7082853409709899,0.29171465902901,0.2,0.4,0.4,0.4210526315789473,0.7,0.7,0.55,0.5384615384615385,1.0,3.4,0.1,0.0921052631578947,0.6,3.0,0.1,0.1197183098591549,0.3,0.45,0.3289473684210526,-0.8,-3.0,0.5,0.5,0.0,0.0,0.0,0,30,2,1556.48,27,78.82,80.96,76.66,78.52,1.031074885379521,2.156509525444608,200,5.303304908059076,0.0333333333333333,1.0986122886681098,65,1,1385.0,43,78.16499999999999,77.58,76.56,76.46,1.0129239772946157,1.8886042257443556,70,4.262679877041316,0.0153846153846153,0.6931471805599453,2.2549999999999955,1.9299999999999924,3.210000000000008,1.0850000000000009,130,0.0179487179487179,0.4054651081081645
2026-06-13,Australia,Turkey,True,FIFA World Cup,1.0,1717.4,1807.0,-89.59999999999991,0.3738397589579468,0.6261602410420533,2.0,1.4,0.6,0.6666666666666666,1.5,0.9,0.7,0.7440000000000001,1.0,2.2,0.4,0.3484848484848484,1.2,2.3,0.5,0.4883720930232558,0.1999999999999999,0.1999999999999999,0.3181818181818182,1.0,-0.8000000000000003,0.5,0.5,0.0,0.0,0.0,0,27,6,1578.66,24,73.3,73.31,72.57,72.76,1.0075590984057174,0.3843175770115159,120,4.795790545596741,0.037037037037037,1.9459101490553128,22,2,1599.04,20,80.6,73.08,82.57,79.88,0.914872308462694,4.891083724492965,460,6.133398042996649,0.0454545454545454,1.0986122886681098,-7.299999999999997,0.2300000000000039,-10.0,-7.11999999999999,-340,-0.0084175084175084,0.8472978603872034
2026-06-13,Haiti,Scotland,True,FIFA World Cup,1.0,1418.5,1705.8,-287.29999999999995,0.1605917507989635,0.8394082492010364,1.0,2.4,0.2,0.171875,0.8,2.1,0.2,0.1287878787878788,0.4,0.8,0.3,0.3888888888888889,0.8,1.9,0.25,0.304,-0.0999999999999999,-0.0499999999999999,-0.2170138888888889,0.6,1.6,0.5,0.5,0.0,0.0,0.0,0,83,1,1291.0,47,69.56,70.06,68.5,69.54,1.0074777106701178,0.7943131204590139,10,2.3978952727983707,0.0120481927710843,0.6931471805599453,43,7,1499.92,34,77.5,73.76,79.29,77.16,0.9559357179885952,2.7891994072373767,135,4.912654885736052,0.0232558139534883,2.079441541679836,-7.939999999999998,-3.700000000000003,-10.790000000000006,-7.61999999999999,-125,-0.011207621182404,-1.3862943611198904
2026-06-13,Qatar,Switzerland,True,FIFA World Cup,1.0,1502.7,1854.5,-351.79999999999995,0.1165902392375386,0.8834097607624614,1.6,2.0,0.6,0.5876288659793815,1.3,1.9,0.5,0.5551948051948052,2.6,1.0,0.7,0.8448275862068966,2.2,1.6,0.55,0.5714285714285715,-0.0999999999999999,-0.05,-0.2571987202275151,-1.0,1.0,0.5167478719466412,0.4832521280533589,0.2416260640266794,1.0,0.0,1,55,1,1454.0,38,72.65,75.52,71.59,70.64,1.0690826727066818,2.587205699849418,18,2.9444389791664403,0.0181818181818181,0.6931471805599453,19,12,1650.75,18,79.03,79.12,77.93,79.65,0.9933458882611425,0.8808518604169482,280,5.638354669333745,0.0526315789473684,2.5649493574615367,-6.379999999999996,-3.6000000000000085,-6.340000000000003,-9.010000000000003,-262,-0.0344497607655502,-1.8718021769015916
2026-06-13,Brazil,Morocco,True,FIFA World Cup,1.0,1957.7,1827.1,130.60000000000014,0.6795694842311515,0.3204305157688485,1.8,1.4,0.5,0.4545454545454545,1.8,1.2,0.6,0.5966386554621849,2.0,0.6,0.9,0.9361702127659576,1.3,0.9,0.6,0.5318181818181819,-0.4,0.0,-0.4816247582205029,-0.1999999999999999,0.7999999999999999,0.4432093123079251,0.5567906876920748,0.2216046561539625,1.0,2.0,1,6,22,1761.16,6,85.24,85.72,84.39,84.78,1.0110875206416607,0.6836909633257792,1000,6.90875477931522,0.1666666666666666,3.1354942159291497,8,6,1756.21,8,80.56,78.97,78.23,82.18,0.9609394013141884,2.0997698286558326,310,5.739792912179234,0.125,1.9459101490553128,4.679999999999993,6.75,6.159999999999997,2.5999999999999943,690,0.0416666666666666,1.1895840668738364
2026-06-14,Germany,Curaçao,True,FIFA World Cup,1.0,1849.4,1461.2,388.2000000000001,0.9033189977303994,0.0966810022696006,2.6,1.4,0.6,0.5483870967741936,2.4,1.4,0.6,0.5709219858156028,1.6,3.2,0.3,0.4473684210526314,1.0,2.6,0.2,0.284,0.3,0.3999999999999999,0.1010186757215621,1.0,-1.8000000000000005,0.5,0.5,0.0,0.0,0.0,0,10,20,1731.3,10,83.78,84.42,84.51,82.18,1.027257240204429,1.3200126262022376,850,6.746412128573375,0.1,3.044522437723423,82,0,1294.0,46,78.16499999999999,77.58,76.56,76.46,1.0129239772946157,1.8886042257443556,12,2.5649493574615367,0.0121951219512195,0.0,2.2549999999999955,1.9299999999999924,3.210000000000008,1.0850000000000009,838,0.0878048780487805,3.044522437723423
2026-06-14,Ivory Coast,Ecuador,True,FIFA World Cup,1.0,1714.4,1856.9,-142.5,0.3057008437870854,0.6942991562129146,1.2,1.0,0.3,0.2234042553191489,1.2,0.9,0.5,0.4848484848484849,1.0,0.6,0.6,0.6,0.8,0.4,0.65,0.6982758620689655,-0.3,-0.15,-0.376595744680851,0.1999999999999999,0.4,0.5,0.5,0.0,0.0,0.0,0,34,3,1532.98,30,78.81,77.58,80.29,78.73,0.9853931157119268,1.3601593043953877,145,4.983606621708336,0.0294117647058823,1.3862943611198906,23,4,1596.48,21,79.42,73.4,81.21,78.83,0.9311175948243056,4.003028020553102,220,5.3981627015177525,0.0434782608695652,1.6094379124341005,-0.6099999999999994,4.179999999999993,-0.9199999999999876,-0.0999999999999943,-75,-0.0140664961636828,-0.2231435513142097
