date,home_team,away_team,neutral,tournament,t_weight,elo_home,elo_away,elo_diff,elo_win_prob_h,elo_win_prob_a,diff_pts5,diff_pts10,diff_wpts5,diff_gf5,diff_ga5,h2h_wwin_rate_a,h2h_wwin_rate_b,h2h_wdraw_rate,h2h_gf_a,h2h_ga_a,h2h_n_matches,h_world_ranking,h_participations,h_elo_rating,h_elo_rank_wc,h_ea_overall,h_ea_attack,h_ea_midfield,h_ea_defense,h_ea_atk_def_ratio,h_ea_balance,h_squad_value_m,h_log_squad_value,h_rank_score,h_wc_exp,a_world_ranking,a_participations,a_elo_rating,a_elo_rank_wc,a_ea_overall,a_ea_attack,a_ea_midfield,a_ea_defense,a_ea_atk_def_ratio,a_ea_balance,a_squad_value_m,a_log_squad_value,a_rank_score,a_wc_exp,diff_ea_overall,diff_ea_attack,diff_ea_midfield,diff_ea_defense,diff_squad_value_m,diff_rank_score,diff_wc_exp,a_gf5,a_ga5,a_pts5,a_wpts5,a_gf10,a_ga10,a_pts10,a_wpts10,h_gf5,h_ga5,h_pts5,h_wpts5,h_gf10,h_ga10,h_pts10,h_wpts10,outcome,home_goals,away_goals,goal_diff,total_goals
2018-03-23,France,Colombia,False,Friendly,0.3,1985.0,1882.0,103.0,0.7628849803052542,0.2371150196947458,0.0,0.0,0.0,0.0,0.0,0.6069716866905611,0.393028313309439,0.1858993947552611,2.917202327037859,1.1655953459242818,2,1,16,1877.32,1,84.99,86.44,82.82,84.39,1.024291977722479,1.815296119094625,1280,7.155396301896734,1.0,2.833213344056216,13,6,1693.09,12,79.68,82.37,79.35,78.43,1.0502358791278847,2.0611647192788847,380,5.942799375126701,0.07692307692307693,1.9459101490553132,5.309999999999988,4.069999999999993,3.469999999999999,5.959999999999994,900,0.9230769230769231,0.8873031950009029,,,,,,,,,,,,,,,,,A,2,3,-1,5
2018-03-23,Norway,Australia,False,Friendly,0.3,1742.0,1740.0,2.0,0.6427130688326204,0.35728693116737964,0.0,0.0,0.0,0.0,0.0,0.5138786424543811,0.48612135754561897,0.24306067877280949,4.0,1.0,1,31,3,1550.94,28,82.05,84.71,81.34,77.67,1.0906398867001414,3.521065179743194,320,5.771441123130016,0.03225806451612903,1.3862943611198906,27,6,1578.66,24,73.3,73.31,72.57,72.76,1.0075590984057174,0.3843175770115159,120,4.795790545596741,0.037037037037037035,1.9459101490553132,8.75,11.399999999999991,8.77000000000001,4.909999999999997,200,-0.004778972520908004,-0.5596157879354227,,,,,,,,,,,,,,,,,H,4,1,3,5
2018-03-24,Canada,New Zealand,True,Friendly,0.3,1620.0,1440.0,180.0,0.7381090325404187,0.2618909674595813,0.0,0.0,0.0,0.0,0.0,0.5138897296363965,0.48611027036360355,0.24305513518180177,1.0,0.0,1,30,2,1556.48,27,78.82,80.96,76.66,78.52,1.031074885379521,2.1565095254446076,200,5.303304908059076,0.03333333333333333,1.0986122886681098,85,2,1281.0,48,71.79,75.19,70.01,71.34,1.0539669189795347,2.690223039080585,9,2.302585092994046,0.011764705882352941,1.0986122886681098,7.029999999999987,5.769999999999996,6.6499999999999915,7.179999999999993,191,0.021568627450980392,0.0,,,,,,,,,,,,,,,,,H,1,0,1,1
2018-03-26,Portugal,Netherlands,True,Friendly,0.3,1972.3,1871.6,100.70000000000005,0.6409928038546276,0.35900719614537235,,,,,,0.505823731342999,0.4941762686570011,0.23371046167959156,0.589378397785876,1.2318648066423723,2,5,8,1763.83,5,83.74,82.45,86.12,82.24,1.0025535019455254,2.182025053323941,850,6.7464121285733745,0.2,2.1972245773362196,7,10,1757.87,7,83.2,80.93,83.63,84.01,0.963337697893108,1.6793252613276926,720,6.580639137284949,0.14285714285714285,2.3978952727983707,0.539999999999992,1.519999999999996,2.490000000000009,-1.7700000000000102,130,0.05714285714285716,-0.2006706954621511,,,,,,,,,,,,,,,,,A,0,3,-3,3
2018-03-27,Morocco,Uzbekistan,False,Friendly,0.3,1706.0,1496.1,209.9000000000001,0.8561811924506489,0.14381880754935106,,,,,,0.5139230428309556,0.4860769571690445,0.24303847858452224,2.0,0.0,1,8,6,1756.21,8,80.56,78.97,78.23,82.18,0.9609394013141883,2.0997698286558326,310,5.739792912179234,0.125,1.9459101490553132,50,0,1465.34,37,72.62,72.67,74.08,70.68,1.02815506508206,1.7082251998297293,40,3.713572066704308,0.02,0.0,7.939999999999998,6.299999999999997,4.150000000000006,11.5,270,0.105,1.9459101490553132,,,,,,,,,,,,,,,,,H,2,0,2,2
2018-03-27,United States,Paraguay,False,Friendly,0.3,1751.3,1700.0,51.299999999999955,0.7049439195514889,0.29505608044851106,,,,,,0.6188867636825932,0.3811132363174068,0.1905566181587034,1.9081773857862327,0.9081773857862325,2,16,11,1675.7,15,,,,,,,250,5.5254529391317835,0.0625,2.4849066497880004,40,8,1503.5,32,74.7,74.93,75.23,74.05,1.011883862255233,0.6132971003790402,100,4.61512051684126,0.025,2.1972245773362196,,,,,150,0.0375,0.2876820724517808,,,,,,,,,,,,,,,,,H,1,0,1,1
2018-03-27,Switzerland,Panama,False,Friendly,0.3,1873.0,1622.0,251.0,0.8829346041256821,0.11706539587431786,0.0,0.0,0.0,0.0,0.0,0.5139230428309556,0.4860769571690445,0.24303847858452224,6.000000000000001,0.0,1,19,12,1650.75,18,79.03,79.12,77.93,79.65,0.9933458882611425,0.8808518604169482,280,5.638354669333745,0.05263157894736842,2.5649493574615367,33,1,1540.64,29,71.68,71.04,71.68,72.16,0.984478935698448,0.5619015334854749,55,4.02535169073515,0.030303030303030304,0.6931471805599453,7.349999999999994,8.079999999999998,6.25,7.490000000000009,225,0.022328548644338114,1.8718021769015913,,,,,,,,,,,,,,,,,H,6,0,6,6
2018-03-27,Spain,Argentina,False,Friendly,0.3,2049.5,1978.0,71.5,0.7285411126534062,0.27145888734659385,,,,,,0.5139230428309556,0.4860769571690445,0.24303847858452224,6.000000000000001,1.0,1,2,16,1876.4,2,84.31,84.06,85.96,81.55,1.030778663396689,2.2120201927951126,920,6.825460036255307,0.5,2.833213344056216,3,18,1874.81,3,84.24,84.97,83.57,83.76,1.0144460362941738,0.7594076639065482,570,6.3473892096560105,0.3333333333333333,2.9444389791664403,0.07000000000000739,-0.9099999999999966,2.3900000000000006,-2.210000000000008,350,0.16666666666666669,-0.1112256351102241,,,,,,,,,,,,,,,,,H,6,1,5,7
2018-03-27,Mexico,Croatia,True,Friendly,0.3,1843.9,1848.0,-4.099999999999909,0.4940998995747349,0.5059001004252651,,,,,,0.4860769571690445,0.5139230428309556,0.24303847858452224,0.0,1.0,1,15,17,1684.13,14,77.71,79.23,77.3,75.4,1.0507957559681698,1.9150195821453098,230,5.442417710521793,0.06666666666666667,2.8903717578961645,11,6,1717.07,11,80.81,78.83,81.31,81.29,0.9697379751506949,1.4260902262246042,340,5.831882477283517,0.09090909090909091,1.9459101490553132,-3.1000000000000085,0.4000000000000057,-4.010000000000005,-5.890000000000001,-110,-0.024242424242424246,0.9444616088408513,,,,,,,,,,,,,,,,,A,0,1,-1,1
2018-03-27,Australia,Colombia,True,Friendly,0.3,1727.5,1897.3,-169.79999999999995,0.27339857437731,0.72660142562269,,,,,,0.3809103071991184,0.5972683312091969,0.2122765151912438,0.0,2.725147982015077,2,27,6,1578.66,24,73.3,73.31,72.57,72.76,1.0075590984057174,0.3843175770115159,120,4.795790545596741,0.037037037037037035,1.9459101490553132,13,6,1693.09,12,79.68,82.37,79.35,78.43,1.0502358791278847,2.0611647192788847,380,5.942799375126701,0.07692307692307693,1.9459101490553132,-6.38000000000001,-9.060000000000002,-6.780000000000001,-5.670000000000002,-260,-0.03988603988603989,0.0,,,,,,,,,,,,,,,,,D,0,0,0,0
